yy1,myEd,sumNormW,sumLWall
2391,2,39.818589903217095,0.34904218279153754
136,2,39.85457990035744,0.3502184348303208
2479,3,39.9217151923445,0.35242528375924004
473,3,39.973410885438525,0.3541343735698647
1783,2,40.031932893664276,0.35606914534619066
4333,2,40.06319326378288,0.35710263144238996
1628,3,40.119241343718635,0.3589842025735407
4103,3,40.177525836109254,0.3609551658087964
3925,2,40.22705314506525,0.36264380599576196
723,3,40.25862970061178,0.36373225837355644
12,3,40.31400653128578,0.3656552109791098
1860,2,40.351482948472245,0.36696500277910016
22,3,40.413457805325706,0.3691399854174791
853,2,40.46802206948566,0.37106662794789824
1421,2,40.50155436038922,0.3722528117880992
1251,2,40.53495448320103,0.37344642920914184
3924,2,40.58975025091704,0.37540697786978483
1062,2,40.648301894637655,0.37750865097371883
2004,3,40.69372440029064,0.37914723470803074
3538,2,40.74988362028455,0.38118324182839847
896,3,40.799838951083075,0.3830010729916377
2276,3,40.81904965362497,0.38370151636408656
2190,3,40.867136270415244,0.38546216141829637
555,2,40.92083055907213,0.38743005811652353
3023,1,40.95752040491353,0.38877870243914925
981,3,41.00799067073252,0.39063797336186584
3886,2,41.089742603960936,0.3936534519699385
2364,2,41.15981205666798,0.39625427695247706
965,2,41.19658298280287,0.39761999345067467
1280,2,41.23446661949155,0.3990317745367636
647,2,41.279179726531886,0.4006990699806287
763,2,41.34295448997489,0.4030800191964618
768,3,41.39377106447518,0.4049904483487081
174,2,41.449864587735654,0.40710985937136657
481,3,41.50409715895469,0.4091589570665675
1893,2,41.56624562357762,0.41150714511586334
2256,3,41.62541476199329,0.4137427637197628
2321,3,41.69652200686455,0.41642944606401855
4116,2,41.76031518379322,0.41883977714137305
2002,2,41.80598229714417,0.4205824962925513
2137,2,41.81312317005216,0.4208590488242826
904,3,41.82198104936918,0.4212054445929849
4399,3,41.90017407226826,0.42429350439759245
2591,3,41.954269198168944,0.4264396041505407
2280,3,41.99182335227686,0.4279323167326796
3564,2,42.046766639289785,0.430121456534894
4307,2,42.08866102943648,0.4317929422761703
3143,3,42.14110675550149,0.43388776005687774
3729,2,42.180819966201554,0.4354757945979049
2010,2,42.253233971380865,0.4383857859636786
1501,2,42.33290434593228,0.4415931117633727
1593,3,42.40823638464685,0.4446291757066956
1737,2,42.48056982498873,0.4475508960321176
995,3,42.531984421195865,0.4496320020857537
1432,3,42.60428978232792,0.452567418818174
3496,2,42.67284777066763,0.4553551422136059
507,2,42.726950460484616,0.4575586333628545
662,2,42.787521300157266,0.4600366204057816
3124,3,42.83667424156446,0.4620484676270808
2623,2,42.889988985091414,0.46423511937549794
585,2,42.937881333111086,0.46622561526224787
2962,3,42.95191569425185,0.4668164849082974
4175,2,43.007803393764945,0.4691885540783507
483,2,43.05849187357071,0.4713431421867441
604,3,43.104533549019244,0.4733002110669326
3408,2,43.15759201127316,0.4755555387520396
4499,2,43.16184478587522,0.4757372311928938
4224,2,43.230259028504015,0.4786711281360619
41,3,43.29654802889042,0.4815454916236987
