yy1,myEd,sumEdW,sumLW
2570,2,85.32410241098707,16.98757578505125
984,2,85.47890039467981,17.196734549828456
3256,2,85.60365838623493,17.36716778653078
4094,2,85.70981232118557,17.51486385441099
1286,2,85.80167868187591,17.643060045437373
3562,2,85.8223991802784,17.672293927286944
1833,2,85.94298406260388,17.845109788483114
1798,2,85.96467850837809,17.876447806441305
1223,2,86.0678769491422,18.030090900991347
464,2,86.17064408034196,18.184178897150133
2294,2,86.1808422759454,18.199469968396567
441,2,86.28067174233573,18.34958303815962
4421,2,86.37957876315555,18.498380173368528
375,2,86.44711952260027,18.60012269734284
4232,2,86.53856977012873,18.740023357552808
1176,2,86.632424074024,18.883890390993365
1196,2,86.73440416800172,19.041692983038715
590,2,86.83335715778247,19.195387158383987
3507,2,86.94850029500586,19.377622971258553
3706,2,87.04329185591145,19.528275235080407
3419,2,87.09133918082688,19.604776630239716
1982,2,87.0999487062152,19.618500733280037
1839,2,87.1666433888849,19.72590957136694
3638,2,87.2659773512938,19.887463868454848
2544,2,87.33404743917136,19.998707792980124
972,2,87.43984980900451,20.17301484482241
26,2,87.51222796686002,20.29271560754102
4067,2,87.62651608749495,20.485669727462998
1843,2,87.72900454450838,20.65905682023276
596,2,87.83605998736667,20.842222688255237
2709,2,87.92836636593636,21.00015373317285
2731,2,88.00413957303734,21.130067956026803
3153,2,88.08992924407991,21.277256501031633
691,2,88.21302344913124,21.488514820232993
1721,2,88.31245638588031,21.65969077954211
697,2,88.4200582521117,21.846523181625717
1076,2,88.49851262121354,21.984644216875378
1253,2,88.57835957917281,22.12687868833724
2540,2,88.66303771896384,22.278628714526086
910,2,88.68079358841995,22.310674883215388
3471,2,88.6810104726047,22.311066320378632
1828,2,88.74815334000785,22.432328862398265
1648,2,88.84238479151779,22.603708016676023
1287,2,88.93781156167225,22.77777841784797
3345,2,89.05022806948286,22.983986235682313
2744,2,89.18321915814448,23.230851641525348
1930,2,89.29454091811441,23.4385382992211
3559,2,89.39762166182412,23.63213133341418
134,2,89.40107362996716,23.638630808571964
1204,2,89.46004661709868,23.749815172325672
1766,2,89.56764938282457,23.953914062759363
3760,2,89.66800275921834,24.144760030781327
3491,2,89.75776419489078,24.31708885556154
1510,2,89.91401134621081,24.619126448419426
4069,2,90.07046839937223,24.92239727583826
2269,2,90.18871959677848,25.154034697726164
3438,2,90.39546248597321,25.561611769059763
1652,2,90.50968725946937,25.788911187829743
1889,2,90.6005177828705,25.970486334451394
2755,2,90.71633001019242,26.20247596148139
1006,2,90.80779437429983,26.389139748664576
4301,2,90.8223906674168,26.419121386475314
783,2,90.94361771382799,26.668289101869576
2632,2,91.00110962360178,26.78676852390774
3933,2,91.11102337109165,27.01500837524161
793,2,91.12858264182199,27.051508258658835
3643,2,91.20940115144126,27.219811668600048
3934,2,91.28683039322418,27.383206913357572
2005,2,91.36388769925482,27.547039710355914
3904,2,91.37959209516711,27.58064715243942
637,2,91.39151474834708,27.606276736009118
4186,2,91.51756310178705,27.8789940897701
3529,2,91.57336845822915,28.000004087889142
533,2,91.6619349535153,28.194396391834186
1480,2,91.74828671341712,28.384271298602393
4077,2,91.85358150119455,28.616528680854795
2001,2,91.91286950692302,28.750342782572748
1849,2,92.08825312464782,29.150128988630698
